fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,13.25,0,,42,,
regular,nonpeak,15.5,0,,51,,
regular,nonpeak,8.5,1,,12,,
regular,nonpeak,9.75,1,,13,,
regular,nonpeak,10.25,1,,14,,
regular,nonpeak,10.25,1,,15,,
regular,nonpeak,11.5,1,,16,,
regular,nonpeak,12.5,1,,17,,
regular,nonpeak,13.5,1,,18,,
regular,nonpeak,14.75,1,,19,,
regular,nonpeak,15.75,1,,20,,
regular,nonpeak,17.75,1,,21,,
regular,nonpeak,11.5,1,,31,,
regular,nonpeak,12.75,1,,41,,
regular,nonpeak,13.25,1,,42,,
regular,nonpeak,15.5,1,,51,,
regular,nonpeak,9.5,12,,11,,
regular,nonpeak,3,12,,2,,
regular,nonpeak,3,12,,12,,
regular,nonpeak,13.75,13,,11,,
regular,nonpeak,4.25,13,,2,,
regular,nonpeak,3,13,,12,,
regular,nonpeak,3,13,,13,,
regular,nonpeak,11.25,14,,11,,
regular,nonpeak,5,14,,2,,
regular,nonpeak,4,14,,12,,
regular,nonpeak,3.75,14,,13,,
regular,nonpeak,3,14,,14,,
regular,nonpeak,11.25,15,,11,,
regular,nonpeak,5,15,,2,,
regular,nonpeak,4.75,15,,12,,
regular,nonpeak,3.75,15,,13,,
regular,nonpeak,3.5,15,,14,,
regular,nonpeak,2.75,15,,15,,
regular,nonpeak,12.5,16,,11,,
regular,nonpeak,6,16,,2,,
regular,nonpeak,6,16,,12,,
regular,nonpeak,5,16,,13,,
regular,nonpeak,4.75,16,,14,,
regular,nonpeak,2.75,16,,15,,
regular,nonpeak,2.75,16,,16,,
regular,nonpeak,13.5,17,,11,,
regular,nonpeak,7,17,,2,,
regular,nonpeak,7,17,,12,,
regular,nonpeak,6,17,,13,,
regular,nonpeak,5.35,17,,14,,
regular,nonpeak,3.5,17,,15,,
regular,nonpeak,2.75,17,,16,,
regular,nonpeak,2.75,17,,17,,
regular,nonpeak,14.5,18,,11,,
regular,nonpeak,8.5,18,,2,,
regular,nonpeak,8.5,18,,12,,
regular,nonpeak,7.25,18,,13,,
regular,nonpeak,7,18,,14,,
regular,nonpeak,4.5,18,,15,,
regular,nonpeak,2.75,18,,16,,
regular,nonpeak,2.75,18,,17,,
regular,nonpeak,2.75,18,,18,,
regular,nonpeak,15.75,19,,11,,
regular,nonpeak,10.25,19,,2,,
regular,nonpeak,10.25,19,,12,,
regular,nonpeak,9,19,,13,,
regular,nonpeak,8.25,19,,14,,
regular,nonpeak,6,19,,15,,
regular,nonpeak,4.5,19,,16,,
regular,nonpeak,3.75,19,,17,,
regular,nonpeak,2.75,19,,18,,
regular,nonpeak,16.75,20,,11,,
regular,nonpeak,11.5,20,,2,,
regular,nonpeak,11.5,20,,12,,
regular,nonpeak,10.25,20,,13,,
regular,nonpeak,9.5,20,,14,,
regular,nonpeak,7.25,20,,15,,
regular,nonpeak,5.75,20,,16,,
regular,nonpeak,4.5,20,,17,,
regular,nonpeak,3.5,20,,18,,
regular,nonpeak,2.75,20,,19,,
regular,nonpeak,2.75,20,,20,,
regular,nonpeak,18.75,21,,11,,
regular,nonpeak,14,21,,2,,
regular,nonpeak,14,21,,12,,
regular,nonpeak,12.75,21,,13,,
regular,nonpeak,12,21,,14,,
regular,nonpeak,9.75,21,,15,,
regular,nonpeak,8.25,21,,16,,
regular,nonpeak,7,21,,17,,
regular,nonpeak,5.5,21,,18,,
regular,nonpeak,3.75,21,,19,,
regular,nonpeak,3.5,21,,20,,
regular,nonpeak,2.75,21,,21,,
regular,nonpeak,12.5,31,,11,,
regular,nonpeak,6,31,,2,,
regular,nonpeak,6,31,,12,,
regular,nonpeak,5,31,,13,,
regular,nonpeak,4.75,31,,14,,
regular,nonpeak,2.75,31,,15,,
regular,nonpeak,2.75,31,,16,,
regular,nonpeak,3.5,31,,17,,
regular,nonpeak,4.5,31,,18,,
regular,nonpeak,5.75,31,,19,,
regular,nonpeak,6.25,31,,20,,
regular,nonpeak,8.5,31,,21,,
regular,nonpeak,2.75,31,,31,,
regular,nonpeak,13.75,41,,11,,
regular,nonpeak,7.5,41,,2,,
regular,nonpeak,7.5,41,,12,,
regular,nonpeak,6.25,41,,13,,
regular,nonpeak,6,41,,14,,
regular,nonpeak,4,41,,15,,
regular,nonpeak,3.5,41,,16,,
