fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,,14,118,,203,,
regular,,14,118,,204,,
regular,,14,118,,205,,
regular,,14,118,,206,,
regular,,14,118,,207,,
regular,,14,118,,208,,
regular,,14,118,,209,,
regular,,14,118,,210,,
regular,,14,118,,211,,
regular,,14,118,,212,,
regular,,14,118,,213,,
regular,,15.5,119,,203,,
regular,,15.5,119,,204,,
regular,,15.5,119,,205,,
regular,,15.5,119,,206,,
regular,,15.5,119,,207,,
regular,,15.5,119,,208,,
regular,,15.5,119,,209,,
regular,,15.5,119,,210,,
regular,,15.5,119,,211,,
regular,,15.5,119,,212,,
regular,,15.5,119,,213,,
regular,,16.5,120,,203,,
regular,,16.5,120,,204,,
regular,,16.5,120,,205,,
regular,,16.5,120,,206,,
regular,,16.5,120,,207,,
regular,,16.5,120,,208,,
regular,,16.5,120,,209,,
regular,,16.5,120,,210,,
regular,,16.5,120,,211,,
regular,,16.5,120,,212,,
regular,,16.5,120,,213,,
regular,,18,121,,203,,
regular,,18,121,,204,,
regular,,18,121,,205,,
regular,,18,121,,206,,
regular,,18,121,,207,,
regular,,18,121,,208,,
regular,,18,121,,209,,
regular,,18,121,,210,,
regular,,18,121,,211,,
regular,,18,121,,212,,
regular,,18,121,,213,,
regular,,20.25,122,,203,,
regular,,20.25,122,,204,,
regular,,20.25,122,,205,,
regular,,20.25,122,,206,,
regular,,20.25,122,,207,,
regular,,20.25,122,,208,,
regular,,20.25,122,,209,,
regular,,20.25,122,,210,,
regular,,20.25,122,,211,,
regular,,20.25,122,,212,,
regular,,20.25,122,,213,,
regular,,9.75,211,,102,,
regular,,9.75,211,,103,,
regular,,9.75,211,,104,,
regular,,9.75,211,,105,,
regular,,9.75,211,,106,,
regular,,9.75,211,,107,,
regular,,9.75,211,,108,,
regular,,9.75,211,,109,,
regular,,9.75,211,,110,,
regular,,9.75,211,,111,,
regular,,9.75,211,,112,,
regular,,9.75,211,,113,,
regular,,9.75,211,,114,,
regular,,11,211,,115,,
regular,,11,211,,116,,
regular,,12.5,211,,117,,
regular,,14,211,,118,,
regular,,15.5,211,,119,,
regular,,16.5,211,,120,,
regular,,18,211,,121,,
regular,,20.25,211,,122,,
regular,,9.75,212,,102,,
regular,,9.75,212,,103,,
regular,,9.75,212,,104,,
regular,,9.75,212,,105,,
regular,,9.75,212,,106,,
regular,,9.75,212,,107,,
