fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,peak,15.75,7,1,3,,
regular,peak,18.25,9,1,3,,
regular,peak,20.5,10,1,3,,
regular,peak,25,12,1,3,,
regular,peak,32,14,1,3,,
regular,peak,14.75,4,1,4,,
regular,peak,17.25,7,1,4,,
regular,peak,19.75,9,1,4,,
regular,peak,22.25,10,1,4,,
regular,peak,27,12,1,4,,
regular,peak,33.75,14,1,4,,
regular,peak,12,1,3,1,,
regular,peak,5.5,3,3,3,,
regular,peak,9,4,3,3,,
regular,peak,10.5,7,3,3,,
regular,peak,13,9,3,3,,
regular,peak,15.75,10,3,3,,
regular,peak,20.5,12,3,3,,
regular,peak,27,14,3,3,,
regular,peak,10,4,3,4,,
regular,peak,11,7,3,4,,
regular,peak,13.5,9,3,4,,
regular,peak,16.5,10,3,4,,
regular,peak,21.25,12,3,4,,
regular,peak,27.75,14,3,4,,
regular,peak,12.25,7,3,7,,
regular,peak,15.75,9,3,7,,
regular,peak,18.25,10,3,7,,
regular,peak,22.75,12,3,7,,
regular,peak,29.75,14,3,7,,
regular,peak,18.5,9,3,9,,
regular,peak,21.25,10,3,9,,
regular,peak,26,12,3,9,,
regular,peak,32.75,14,3,9,,
regular,peak,22.75,10,3,10,,
regular,peak,28,12,3,10,,
regular,peak,34.75,14,3,10,,
regular,peak,33,12,3,12,,
regular,peak,40,14,3,12,,
regular,peak,43.5,14,3,14,,
regular,peak,4.25,4,4,4,,
regular,peak,4.25,7,4,4,,
regular,peak,6,9,4,4,,
regular,peak,8.25,10,4,4,,
regular,peak,12,12,4,4,,
regular,peak,18.5,14,4,4,,
regular,peak,4.5,7,4,7,,
regular,peak,6.5,9,4,7,,
regular,peak,9,10,4,7,,
regular,peak,12.25,12,4,7,,
regular,peak,18.75,14,4,7,,
regular,peak,9.25,9,4,9,,
regular,peak,11,10,4,9,,
regular,peak,14.75,12,4,9,,
regular,peak,21.75,14,4,9,,
regular,peak,13.5,10,4,10,,
regular,peak,17.75,12,4,10,,
regular,peak,24.5,14,4,10,,
regular,peak,21.75,12,4,12,,
regular,peak,28,14,4,12,,
regular,peak,30.75,14,4,14,,
regular,peak,4.25,7,7,7,,
regular,peak,4.25,9,7,7,,
regular,peak,6,10,7,7,,
regular,peak,10.5,12,7,7,,
regular,peak,17.25,14,7,7,,
regular,peak,4.5,9,7,9,,
regular,peak,6.5,10,7,9,,
regular,peak,11,12,7,9,,
regular,peak,17.75,14,7,9,,
regular,peak,10,10,7,10,,
regular,peak,13.5,12,7,10,,
regular,peak,20.25,14,7,10,,
regular,peak,17.75,12,7,12,,
regular,peak,24.5,14,7,12,,
regular,peak,28,14,7,14,,
regular,peak,11.5,1,1,3,,
regular,peak,13,1,1,4,,
regular,peak,14.5,1,1,7,,
regular,peak,17.25,1,1,9,,
regular,peak,20.25,1,1,10,,
regular,peak,24.75,1,1,12,,
regular,peak,31,1,1,14,,
regular,peak,13.5,3,1,4,,
regular,peak,15.75,3,1,7,,
regular,peak,18.25,3,1,9,,
regular,peak,20.5,3,1,10,,
regular,peak,25,3,1,12,,
regular,peak,32,3,1,14,,
regular,peak,17.25,4,1,7,,
regular,peak,19.75,4,1,9,,
regular,peak,22.25,4,1,10,,
regular,peak,27,4,1,12,,
regular,peak,33.75,4,1,14,,
regular,peak,9,3,3,4,,
regular,peak,10.5,3,3,7,,
regular,peak,13,3,3,9,,
regular,peak,15.75,3,3,10,,
regular,peak,20.5,3,3,12,,
regular,peak,27,3,3,14,,
regular,peak,11,4,3,7,,
regular,peak,13.5,4,3,9,,
regular,peak,16.5,4,3,10,,
regular,peak,21.25,4,3,12,,
regular,peak,27.75,4,3,14,,
regular,peak,15.75,7,3,9,,
regular,peak,18.25,7,3,10,,
